No.;Stock Code VDC;Stock Code VDC Claim;Picture;Item Description;Mnemonic;Part Number;Type of Item;Supplier;Suupplier Address;UOI; Price Damage Core ; Price Product  Genuine ; Price Total ;Time Guarantee;Claim Methode;JENIS SC
647;2139046;;;SLOGING RING WRENCHES;HEYCO;820008020;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
648;2139053;;;SOCKET 3/8;HEYCO;25631983;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
649;2145936;;;SCREW EXTRACTOR SET;HEYCO;HY-01491000600;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
650;2159341;;;"CONVERTER 1/2"" x 3/8""";HEYCO;50141083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
651;2133031;;;"SOCKETS EXTRA DEEP 3/8"" x 12 mm 6PT";HEYCO;HY-03700191236;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
652;2133056;;;"HEX. SOCKET SCREWDRIVER 1/2""x4 mm-L2:12";HEYCO;HY-00050310183;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
653;2133064;;;"SCREWDRIVER SOCKET 1/2""xT.25 mm-L2:15";HEYCO;HY-00050362583;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
654;2133072;;;"SCREWDRIVER SOCKET 1/2""xT.30 mm-L2:15";HEYCO;HY-00050363083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
655;2154664;;;SINGLE ENDED OPEN JAW WRENCH;HEYCO;HY-00894050036;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
656;2144921;;;OPEN ENDED JAW WRENCH;HEYCO;792311780;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
657;2144939;;;OPEN ENDED JAW WRENCH;HEYCO;792311980;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
658;2144947;;;OPEN ENDED JAW WRENCH;HEYCO;HY-00794311780;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
659;2144954;;;OPEN ENDED JAW WRENCH;HEYCO;HY-00794311980;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
